AUS, austin
BCN, barcelona
BEG, belgrade
BLR, bengaluru
TXL, berlin
BOS, boston
SBZ, brasov
BUD, budapest
EZE, buenos-aires
CUN, cancun
CPT, cape-town
DEN, denver
LIS, ericeira
IST, istanbul
IEV, kiev
FAO, lagos-algarve
SPC, las-palmas
LIM, lima
LIS, lisbon
LHR, london
MDE, medellin
MEX, mexico-city
PEN, penang
PWM, playa-del-carmen
OPO, porto
PRG, prague
LED, saint-petersburg
GRU, sao-paulo
SIN, singapore
TPA, tampa
TFS, tenerife
TSR, timisoara
YYZ, toronto
YVR, vancouver
WAW, warsaw
ZAG, zagreb

