Airport Code, City
"ATL", "Atlanta"
"PEK", "Beijing"
"LAX", "Los Angeles"
"DXB", "Garhoud, Dubai"
"HND", "Tokyo"
"ORD", "Chicago"
"LHR", "London"
"PVG", "Shanghai"
"CDG", "Paris"
"DFW", "Dallas-Fort Worth"
"CAN", "Baiyun-Huadu, Guangzhou"
"AMS", "Haarlemmermeer"
"HKG", "Chek Lap Kok"
"ICN", "Incheon"
"FRA", "Frankfurt"
"DEN", "Denver"
"DEL", "Delhi"
"SIN", "Changi"
"BKK", "Bangkok"
"JFK", "New York"
"KUL", "Sepang"
"MAD", "Madrid"
"SFO", "San Francisco"
"CTU", "Shuangliu-Wuhou, Chengdu"
"CGK", "Tangerang"
"SZX", "Shenzhen"
"BCN", "Barcelona"
"IST", "Arnavutköy"
"SEA", "SeaTac"
"LAS"  "Las Vegas"
